AAPL,BLND.L,RIO.L,SDRC.L
157.92,529.8,3690.5,2050.0
142.19,523.0,3643.0,2050.0
148.26,531.0,3793.5,2095.0
147.93,532.6,3831.0,2120.0
150.75,546.8,3861.5,2185.0
153.31,543.0,3905.5,2255.0
153.8,541.2,3882.5,2205.0
152.29,544.6,3867.5,2235.0
150.0,549.4,3861.0,2235.0
153.07,554.8,3902.0,2195.0
154.94,560.6,3879.0,2100.0
155.86,563.4,3897.0,2120.0
156.82,571.2,3925.0,2115.0
,562.0,3931.0,2120.0
153.3,557.0,3845.5,2055.0
153.92,562.6,3761.5,2065.0
152.7,568.4,3765.0,2085.0
157.76,572.2,3878.0,2070.0
156.3,572.0,3944.5,2055.0
154.68,580.2,4077.5,2100.0
165.25,586.6,4133.5,2090.0
166.44,573.4,4187.5,2060.0
166.52,571.0,4230.0,2100.0
171.25,570.8,4267.0,2065.0
174.18,570.2,4303.0,2095.0
174.24,574.0,4298.5,2100.0
170.94,576.0,4267.0,2100.0
170.41,575.2,4265.0,2070.0
169.43,583.0,4287.0,2095.0
170.89,586.4,4294.5,2085.0
170.18,586.0,4354.5,2085.0
170.8,584.0,4347.5,2160.0
170.42,586.4,4398.0,2125.0
,586.4,4367.5,2115.0
170.93,583.4,4404.0,2100.0
172.03,573.8,4449.0,2045.0
171.06,580.8,4392.0,2080.0
172.97,581.0,4465.0,2115.0
174.23,580.0,4425.0,2115.0
174.33,592.0,4386.0,2165.0
174.87,593.8,4425.0,2110.0
173.15,604.2,4336.0,2100.0
174.97,601.4,4356.0,2165.0
175.85,601.0,4395.5,2135.0
175.53,609.0,4441.5,2105.0
174.52,599.6,4478.0,2100.0
172.5,598.2,4144.5,2005.0
172.91,594.2,4120.0,1962.0
178.9,591.4,4150.5,2025.0
180.91,595.6,4170.0,2015.0
181.71,594.6,4182.5,2055.0
183.73,600.4,4169.0,2075.0
186.12,611.6,4151.0,2090.0
188.02,613.6,4267.0,2100.0
186.53,614.2,4305.0,2095.0
188.16,606.8,4204.0,2105.0
195.09,603.2,4282.5,2115.0
191.05,590.2,4231.0,2100.0
188.74,590.4,4299.5,2150.0
186.79,593.8,4312.5,2130.0
188.47,595.2,4334.5,2110.0
188.72,583.8,4383.5,2050.0
189.95,589.0,4461.0,2145.0
191.24,595.4,4566.0,2150.0
194.02,604.0,4604.5,2170.0
195.35,606.0,4639.0,2160.0
195.69,605.6,4588.5,2170.0
197.0,598.4,4664.5,2205.0
200.1,595.8,4718.0,2200.0
199.5,592.0,4716.0,2215.0
200.62,599.2,4762.0,2180.0
198.95,605.2,4713.0,2265.0
198.87,607.2,4771.5,2310.0
199.23,606.8,4702.5,2360.0
199.25,609.0,4672.5,2400.0
203.13,597.6,4547.0,2385.0
203.86,595.6,4600.0,2385.0
204.53,,,
207.48,592.6,4637.0,2385.0
207.16,601.0,4555.0,2400.0
205.28,602.4,4543.5,2415.0
204.3,603.8,4545.0,2405.0
204.61,601.2,4508.5,2420.0
200.67,594.0,4465.0,2415.0
210.52,597.6,4438.5,2400.0
209.15,603.0,4359.0,2415.0
211.75,595.2,4407.5,2440.0
208.48,,,
202.86,598.2,4410.0,2395.0
202.9,585.4,4422.0,2380.0
200.72,584.0,4371.0,2370.0
197.18,570.0,4412.0,2395.0
185.72,563.6,4368.0,2345.0
188.66,560.4,4505.0,2395.0
190.92,560.2,4519.5,2425.0
190.08,564.4,4609.0,2440.0
189.0,558.6,4673.0,2450.0
183.09,555.0,4676.5,2425.0
186.6,555.2,4637.0,2435.0
182.78,543.2,4675.0,2425.0
179.66,531.6,4589.5,2375.0
178.97,534.4,4642.0,2365.0
178.23,530.0,4776.0,2325.0
177.38,532.6,4645.0,2335.0
178.3,533.2,4645.0,2365.0
175.07,534.0,4536.5,2355.0
173.3,528.6,4595.0,2355.0
179.64,527.0,4606.0,2375.0
182.54,535.2,4521.0,2370.0
185.22,531.8,4538.5,2385.0
190.15,537.4,4518.5,2405.0
192.58,540.8,4587.0,2430.0
194.81,542.0,4696.5,2435.0
194.19,538.4,4712.5,2420.0
194.15,545.6,4806.0,2400.0
192.74,539.2,4770.0,2405.0
193.89,535.8,4773.0,2360.0
198.45,539.6,4877.5,2425.0
197.87,538.2,4649.0,2475.0
199.46,540.0,4682.5,2535.0
198.78,540.0,4689.5,2540.0
198.58,535.6,4751.0,2520.0
195.57,539.2,4773.0,2515.0
199.8,537.4,4828.0,2500.0
199.74,526.0,4828.5,2455.0
197.92,538.4,4880.5,2455.0
201.55,546.4,4915.5,2555.0
202.73,547.4,4976.5,2540.0
204.41,553.0,4966.5,2565.0
,558.4,4911.5,2555.0
204.23,557.4,4723.5,2590.0
200.02,555.4,4802.0,2535.0
201.24,550.6,4804.5,2480.0
203.23,540.0,4856.0,2470.0
201.75,536.8,4824.0,2455.0
203.3,539.8,4808.5,2455.0
205.21,540.8,4868.0,2425.0
204.5,536.6,4850.0,2425.0
203.35,538.6,4876.0,2395.0
205.66,537.2,4780.0,2365.0
202.59,537.8,4851.0,2365.0
207.22,531.8,4818.0,2395.0
208.84,535.4,4828.5,2390.0
208.67,542.2,4606.5,2425.0
207.02,536.0,4575.5,2380.0
207.74,535.6,4605.5,2400.0
209.68,536.6,4681.5,2440.0
208.78,525.8,4728.5,2440.0
213.04,508.0,4698.0,2475.0
208.43,502.4,4539.5,2525.0
204.02,500.4,4386.5,2495.0
193.34,479.3,4290.0,2450.0
197.0,479.9,4227.5,2460.0
199.04,481.5,4195.0,2450.0
203.43,489.1,4158.0,2460.0
200.99,484.5,4056.0,2445.0
200.48,474.6,4040.5,2335.0
208.97,477.5,4117.5,2330.0
202.75,472.7,4061.5,2250.0
201.74,468.3,4026.0,2225.0
206.5,477.8,4005.0,2260.0
210.35,485.2,4065.0,2260.0
210.36,480.0,4009.5,2260.0
212.64,490.3,3990.0,2265.0
212.46,495.9,3946.0,2225.0
202.64,496.8,3924.5,2200.0
206.49,,,
204.16,517.2,3934.5,2195.0
205.53,509.8,3989.0,2195.0
209.01,507.8,4043.0,2220.0
208.74,509.8,4149.5,2195.0
,513.8,4147.0,2195.0
205.7,511.0,4129.0,2190.0
209.19,516.8,4207.5,2215.0
213.28,521.8,4220.5,2240.0
213.26,518.2,4237.0,2240.0
214.17,517.4,4218.5,2255.0
216.7,532.2,4251.0,2340.0
223.59,553.6,4288.5,2385.0
223.09,542.8,4332.0,2430.0
218.75,559.6,4410.22,2515.0
219.9,554.8,4332.5,2460.0
220.7,562.2,4263.0,2485.0
